Namn,Dag,Månad,Ingår i namnlängden,Typ
Nyårsdagen,1,1,Ja,Högtid
Svea,2,1,Ja,Namn
Alfred,3,1,Ja,Namn
Alfrida,3,1,Ja,Namn
Rut,4,1,Ja,Namn
Hanna,5,1,Ja,Namn
Hanne,5,1,Nej,Namn
Hannele,5,1,Ja,Namn
Hanny,5,1,Nej,Namn
Baltsar,6,1,Ja,Namn
Caspar,6,1,Nej,Namn
Kasper,6,1,Ja,Namn
Melchior,6,1,Nej,Namn
Melker,6,1,Ja,Namn
Trettondedag jul,6,1,Ja,Högtid
Age,7,1,Nej,Namn
Agge,7,1,Nej,Namn
August,7,1,Ja,Namn
Augusta,7,1,Ja,Namn
Augustin,7,1,Nej,Namn
Augustinus,7,1,Nej,Namn
Gusten,7,1,Nej,Namn
Gusti,7,1,Nej,Namn
Erland,8,1,Ja,Namn
Gunde,9,1,Nej,Namn
Gunder,9,1,Ja,Namn
Gunnar,9,1,Ja,Namn
Günther,9,1,Nej,Namn
Sigbritt,10,1,Ja,Namn
Sigge,10,1,Nej,Namn
Sigurd,10,1,Ja,Namn
Jan,11,1,Ja,Namn
Janne,11,1,Nej,Namn
Jannika,11,1,Nej,Namn
Jannike,11,1,Ja,Namn
Frideborg,12,1,Ja,Namn
Knut,13,1,Ja,Namn
Tjugondedag jul,13,1,Ja,Högtid
Felicia,14,1,Ja,Namn
Felix,14,1,Ja,Namn
Lalla,15,1,Nej,Namn
Larry,15,1,Nej,Namn
Laura,15,1,Ja,Namn
Laurens,15,1,Nej,Namn
Laurentia,15,1,Nej,Namn
Laurentius,15,1,Nej,Namn
Lauri,15,1,Nej,Namn
Laurina,15,1,Nej,Namn
Lauritz,15,1,Nej,Namn
Lawrence,15,1,Nej,Namn
Lorentz,15,1,Ja,Namn
Helmer,16,1,Ja,Namn
Hjalmar,16,1,Ja,Namn
Anthony,17,1,Nej,Namn
Anton,17,1,Ja,Namn
Antoni,17,1,Nej,Namn
Antonio,17,1,Nej,Namn
Antonius,17,1,Nej,Namn
Tönnes,17,1,Nej,Namn
Tony,17,1,Ja,Namn
Hilda,18,1,Ja,Namn
Hilde,18,1,Nej,Namn
Hildur,18,1,Ja,Namn
Enrique,19,1,Nej,Namn
Heikki,19,1,Nej,Namn
Heine,19,1,Nej,Namn
Heinrich,19,1,Nej,Namn
Heinz,19,1,Nej,Namn
Henri,19,1,Nej,Namn
Henrik,19,1,Ja,Namn
Henry,19,1,Nej,Namn
Fabian,20,1,Ja,Namn
Sebastian,20,1,Ja,Namn
Agna,21,1,Nej,Namn
Agnes,21,1,Ja,Namn
Agneta,21,1,Ja,Namn
Agnete,21,1,Nej,Namn
Neta,21,1,Nej,Namn
Viktor,22,1,Ja,Namn
Vincent,22,1,Ja,Namn
Frej,23,1,Ja,Namn
Freja,23,1,Ja,Namn
Erika,24,1,Ja,Namn
Paavo,25,1,Nej,Namn
Pablo,25,1,Nej,Namn
Pål,25,1,Ja,Namn
Palle,25,1,Nej,Namn
Paul,25,1,Ja,Namn
Pauli,25,1,Nej,Namn
Paulus,25,1,Nej,Namn
Pavel,25,1,Nej,Namn
Poul,25,1,Nej,Namn
Bodil,26,1,Ja,Namn
Boel,26,1,Ja,Namn
Bolla,26,1,Nej,Namn
Botilda,26,1,Nej,Namn
Göta,27,1,Ja,Namn
Göte,27,1,Ja,Namn
Götilda,27,1,Nej,Namn
Carlo,28,1,Nej,Namn
Carlos,28,1,Nej,Namn
Carol,28,1,Nej,Namn
Charles,28,1,Nej,Namn
Charlie,28,1,Nej,Namn
Kaarlo,28,1,Nej,Namn
Karl,28,1,Ja,Namn
Karla,28,1,Ja,Namn
Diana,29,1,Ja,Namn
Diane,29,1,Nej,Namn
Gulla,30,1,Nej,Namn
Gullan,30,1,Nej,Namn
Gulli,30,1,Nej,Namn
Gullie,30,1,Nej,Namn
Gully,30,1,Nej,Namn
Gundel,30,1,Nej,Namn
Gunhild,30,1,Ja,Namn
Gunilla,30,1,Ja,Namn
Gunnela,30,1,Nej,Namn
Gunni,30,1,Nej,Namn
Gunnie,30,1,Nej,Namn
Gunnil,30,1,Nej,Namn
Gunnila,30,1,Nej,Namn
Gunny,30,1,Nej,Namn
Ivar,31,1,Ja,Namn
Joar,31,1,Ja,Namn
Max,1,2,Ja,Namn
Maximilian,1,2,Ja,Namn
Kyndelsmässodagen,2,2,Ja,Högtid
Disa,3,2,Ja,Namn
Hjördis,3,2,Ja,Namn
Anselm,4,2,Ja,Namn
Ansgar,4,2,Ja,Namn
Ansgarius,4,2,Nej,Namn
Selm,4,2,Nej,Namn
Selmer,4,2,Nej,Namn
Agata,5,2,Ja,Namn
Agaton,5,2,Nej,Namn
Agda,5,2,Ja,Namn
Ågot,5,2,Nej,Namn
Dolly,6,2,Nej,Namn
Dora,6,2,Nej,Namn
Dordi,6,2,Nej,Namn
Doris,6,2,Ja,Namn
Dorit,6,2,Nej,Namn
Dorotea,6,2,Ja,Namn
Dorthy,6,2,Nej,Namn
Dick,7,2,Ja,Namn
Ricky,7,2,Nej,Namn
Rikard,7,2,Ja,Namn
Bert,8,2,Ja,Namn
Berta,8,2,Ja,Namn
Bertina,8,2,Nej,Namn
Fanny,9,2,Ja,Namn
Francesca,9,2,Nej,Namn
Franciska,9,2,Ja,Namn
Iris,10,2,Ja,Namn
Inge,11,2,Ja,Namn
Ingo,11,2,Nej,Namn
Yngve,11,2,Ja,Namn
Evelin,12,2,Nej,Namn
Evelina,12,2,Ja,Namn
Eveline,12,2,Nej,Namn
Evelyn,12,2,Nej,Namn
Evy,12,2,Ja,Namn
Agne,13,2,Ja,Namn
Ove,13,2,Ja,Namn
Valentin,14,2,Ja,Namn
Valentina,14,2,Nej,Namn
Vally,14,2,Nej,Namn
Sigfrid,15,2,Ja,Namn
Jill,16,2,Nej,Namn
Julia,16,2,Ja,Namn
Juliana,16,2,Nej,Namn
Julie,16,2,Nej,Namn
Juliette,16,2,Nej,Namn
Julio,16,2,Nej,Namn
Julius,16,2,Ja,Namn
Alejandra,17,2,Nej,Namn
Alexandra,17,2,Ja,Namn
Alla,17,2,Nej,Namn
Alli,17,2,Nej,Namn
